# file...... time_results/meter_data_no1547_zip/current/m652.csv
# date...... Wed May  2 01:07:02 2018
# user...... ericlinxie
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag
2000-08-02 11:52:09 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:10 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:11 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:12 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:13 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:14 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:15 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:16 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:17 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:18 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:19 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:20 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:21 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:22 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:23 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:24 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:25 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:26 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:27 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:28 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:29 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:30 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:31 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:32 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:33 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:34 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:35 HDT,+57.7922,-29.5906,+0,+0,+0,+0
