# file...... power_pv.csv,,,,,,,,,,,,,,,,,,,
# date...... Tue Sep 12 15:20:27 2017,,,,,,,,,,,,,,,,,,,
# user...... ericlinxie,,,,,,,,,,,,,,,,,,,
# host...... (null),,,,,,,,,,,,,,,,,,,
# group..... class=meter,,,,,,,,,,,,,,,,,,,
# property.. measured_power,,,,,,,,,,,,,,,,,,,
# limit..... 0,,,,,,,,,,,,,,,,,,,
# interval.. 0,,,,,,,,,,,,,,,,,,,
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611,,,,,
2000-08-02 17:00:00 HDT,405250,-1665630,-1695560,-1665590,-5286420,305265,400000,414285,243737,139363,-2692130,843000,1013990,164779,-9075661,-5286420,-1665590,-2123651,4828359
2000-08-02 18:00:00 HDT,405404,2880920,2837910,2880980,-686934,297952,400000,412092,241548,125947,1859710,843000,1025450,170903,13694882,-686934,2880980,11500836,9306790
2000-08-02 19:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 20:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 21:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 22:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 23:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-03 00:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611,total,solar,slack,rest_of_loads,calculated losses
2000-08-02 00:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 01:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 02:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 03:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 04:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 05:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 06:00:00 HDT,299828,1625590,1471840,1625590,-5855.66,56025.4,290000,264211,138781,84343.5,741068,-150694,-9416.55,-28779.6,6402531.09,-5855.66,1625590,4782796.75,3163062.41
2000-08-02 07:00:00 HDT,299678,1438950,1371400,1438950,-69440.7,62857.7,290000,265662,140227,87514.8,694314,-166704,-17001.1,-25106,5811301.7,-69440.7,1438950,4441792.4,3072283.1
2000-08-02 08:00:00 HDT,299624,1444890,1401110,1444890,-49966.7,66549.9,290000,266108,140672,88852.1,732736,-172436,-18701.3,-22744.3,5911583.7,-49966.7,1444890,4516660.4,3121737.1
2000-08-02 09:00:00 HDT,299463,1361620,1333090,1361620,-211234,75649.5,290000,267650,142209,92849,639312,-191672,-27387.6,-17625.1,5415543.8,-211234,1361620,4265157.8,3114771.8
